date,symbol,yahoo_symbol,market,open,high,low,close,volume
2021-11-12,6844,6844.TWO,上櫃,175.0,188.0,163.0,169.0,229273
2021-11-15,6844,6844.TWO,上櫃,165.0,167.5,159.0,162.0,89685
2021-11-16,6844,6844.TWO,上櫃,163.0,167.0,159.5,167.0,70540
2021-11-17,6844,6844.TWO,上櫃,163.5,177.0,163.5,177.0,88243
2021-11-18,6844,6844.TWO,上櫃,178.0,180.0,174.0,180.0,113909
2021-11-19,6844,6844.TWO,上櫃,185.0,191.0,182.0,191.0,154333
2021-11-22,6844,6844.TWO,上櫃,192.0,201.0,189.0,193.0,101276
2021-11-23,6844,6844.TWO,上櫃,192.5,200.5,190.0,200.0,63234
2021-11-24,6844,6844.TWO,上櫃,200.0,212.0,200.0,211.0,111411
2021-11-25,6844,6844.TWO,上櫃,211.0,211.0,196.0,201.0,56884
2021-11-26,6844,6844.TWO,上櫃,200.0,201.0,188.0,190.0,99242
2021-11-29,6844,6844.TWO,上櫃,187.0,192.0,184.0,192.0,40277
2021-11-30,6844,6844.TWO,上櫃,192.0,192.0,185.0,190.0,28817
2021-12-01,6844,6844.TWO,上櫃,184.0,190.0,184.0,189.0,22003
2021-12-02,6844,6844.TWO,上櫃,188.0,188.0,184.0,187.0,10249
2021-12-03,6844,6844.TWO,上櫃,184.0,186.0,183.0,183.0,38598
2021-12-06,6844,6844.TWO,上櫃,182.5,183.5,178.0,179.0,29486
2021-12-07,6844,6844.TWO,上櫃,180.0,181.0,177.0,181.0,17203
2021-12-08,6844,6844.TWO,上櫃,181.0,181.0,178.5,178.5,8599
2021-12-09,6844,6844.TWO,上櫃,178.0,181.0,178.0,179.0,9220
2021-12-10,6844,6844.TWO,上櫃,180.0,180.5,177.0,178.0,12943
2021-12-13,6844,6844.TWO,上櫃,180.0,180.0,177.0,177.0,4385
2021-12-14,6844,6844.TWO,上櫃,178.0,182.0,177.5,179.0,46771
2021-12-15,6844,6844.TWO,上櫃,181.0,190.0,179.0,182.0,85626
2021-12-16,6844,6844.TWO,上櫃,182.0,182.0,178.0,178.0,32473
2021-12-17,6844,6844.TWO,上櫃,177.0,181.0,177.0,180.0,6418
2021-12-20,6844,6844.TWO,上櫃,180.0,180.0,180.0,180.0,1
2021-12-21,6844,6844.TWO,上櫃,176.0,180.0,176.0,179.0,3424
2021-12-22,6844,6844.TWO,上櫃,179.0,180.0,174.0,179.0,9533
2021-12-23,6844,6844.TWO,上櫃,179.0,179.0,174.5,178.0,1328
2021-12-24,6844,6844.TWO,上櫃,178.0,178.0,174.0,177.5,15832
2021-12-27,6844,6844.TWO,上櫃,177.5,178.0,172.0,178.0,6418
2021-12-28,6844,6844.TWO,上櫃,171.5,177.0,171.0,174.0,15230
2021-12-29,6844,6844.TWO,上櫃,171.0,175.5,171.0,175.5,4258
2021-12-30,6844,6844.TWO,上櫃,175.0,175.0,171.0,173.0,6526
2022-01-03,6844,6844.TWO,上櫃,170.5,172.5,166.5,168.0,37662
2022-01-04,6844,6844.TWO,上櫃,170.0,170.0,165.0,166.0,22094
2022-01-05,6844,6844.TWO,上櫃,167.0,167.0,163.0,164.0,13425
2022-01-06,6844,6844.TWO,上櫃,162.0,162.5,159.5,162.0,28525
2022-01-07,6844,6844.TWO,上櫃,160.0,165.0,160.0,163.0,22965
2022-01-10,6844,6844.TWO,上櫃,161.0,164.5,161.0,164.5,9473
2022-01-11,6844,6844.TWO,上櫃,164.0,165.0,162.0,164.0,4867
2022-01-12,6844,6844.TWO,上櫃,164.0,165.0,160.5,161.0,26571
2022-01-13,6844,6844.TWO,上櫃,162.0,168.0,160.5,168.0,6863
2022-01-14,6844,6844.TWO,上櫃,168.0,168.0,161.5,167.5,2079
2022-01-17,6844,6844.TWO,上櫃,161.5,167.5,161.5,167.5,3055
2022-01-18,6844,6844.TWO,上櫃,165.5,165.5,162.0,164.5,2752
2022-01-19,6844,6844.TWO,上櫃,164.5,164.5,160.0,164.5,4403
2022-01-20,6844,6844.TWO,上櫃,164.5,164.5,160.5,162.0,15340
2022-01-21,6844,6844.TWO,上櫃,161.0,162.5,160.5,161.0,9559
2022-01-24,6844,6844.TWO,上櫃,160.0,162.5,159.0,160.0,24539
2022-01-25,6844,6844.TWO,上櫃,160.5,160.5,157.0,159.5,24957
2022-01-26,6844,6844.TWO,上櫃,160.0,160.5,160.0,160.0,1022
2022-02-07,6844,6844.TWO,上櫃,161.0,161.0,156.0,161.0,4173
2022-02-08,6844,6844.TWO,上櫃,156.5,161.0,156.5,157.0,25956
2022-02-09,6844,6844.TWO,上櫃,160.5,160.5,156.5,158.5,6558
2022-02-10,6844,6844.TWO,上櫃,159.5,160.5,156.0,159.5,24672
2022-02-11,6844,6844.TWO,上櫃,160.0,160.0,155.5,157.0,9538
2022-02-14,6844,6844.TWO,上櫃,158.0,159.5,158.0,159.5,146
2022-02-15,6844,6844.TWO,上櫃,160.0,160.0,155.0,158.0,10340
2022-02-16,6844,6844.TWO,上櫃,157.5,158.0,156.0,157.5,10623
